Date : 2025-10-29 01:41:54
Directory : e:\Documents\Programs\Chinese-Chess-v3
Total : 231 files,  10313 codes, 5802 comments, 2822 blanks, all 18937 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| Game\UI\Screens\Menus\Options                                                                          |          4 |         68 |         32 |         12 |        112 |
| Game\UI\Screens\Menus\Submenus                                                                         |          6 |        141 |         55 |         42 |        238 |
| Launcher                                                                                               |          3 |        180 |         87 |         53 |        320 |
| StarAnimation                                                                                          |         37 |      1,738 |        760 |        377 |      2,875 |
| StarAnimation (Files)                                                                                  |          2 |         40 |         24 |         11 |         75 |
| StarAnimation\Configs                                                                                  |          1 |          7 |          8 |          1 |         16 |
| StarAnimation\Controllers                                                                              |          5 |        406 |        157 |         97 |        660 |
| StarAnimation\Core                                                                                     |         10 |        553 |        156 |        111 |        820 |
| StarAnimation\Core\Effect                                                                              |         10 |        553 |        156 |        111 |        820 |
| StarAnimation\Core\Effect (Files)                                                                      |          4 |        162 |         49 |         29 |        240 |
| StarAnimation\Core\Effect\Instance                                                                     |          4 |        343 |         85 |         70 |        498 |
| StarAnimation\Core\Effect\Parameter                                                                    |          2 |         48 |         22 |         12 |         82 |
| StarAnimation\DEPRECATED                                                                               |          4 |        284 |        126 |         63 |        473 |
| StarAnimation\Interfaces                                                                               |          1 |          6 |          9 |          1 |         16 |
| StarAnimation\Models                                                                                   |          4 |        122 |         96 |         22 |        240 |
| StarAnimation\Renderers                                                                                |          3 |        127 |         73 |         24 |        224 |
| StarAnimation\Utils                                                                                    |          7 |        193 |        111 |         47 |        351 |
| StarAnimation\Utils (Files)                                                                            |          1 |         31 |         33 |          7 |         71 |
| StarAnimation\Utils\Area                                                                               |          6 |        162 |         78 |         40 |        280 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                               | language     | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| e:\Documents\Programs\Chinese-Chess-v3\Assets\Font\Readme.md                                           | Markdown     |         17 |          0 |          6 |         23 |
| e:\Documents\Programs\Chinese-Chess-v3\Chinese-Chess-v3.csproj                                         | XML          |         20 |          1 |          1 |         22 |
| e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\BoardConstants.cs                                    | C#           |         22 |         16 |          6 |         44 |
| e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\BoardSettings.cs                                     | C#           |         13 |         13 |          4 |         30 |
| e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\Bootstrap\UIInitializer.cs                           | C#           |         20 |         15 |          8 |         43 |
| e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\Controllers\MainMenuController.cs                    | C#           |         53 |          8 |         12 |         73 |
| e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\Controls\ScrollTextBox.cs                            | C#           |         60 |         11 |         19 |         90 |
