"filename", "language", "XML", "Batch", "Markdown", "C#", "Shell Script", "comment", "blank", "total"
"e:\Documents\Programs\Chinese-Chess-v3\Game\UI\Screens\Games\Sidebars\Sidebar.cs", "C#", 0, 0, 0, 39, 0, 22, 14, 75
"e:\Documents\Programs\Chinese-Chess-v3\Game\UI\Screens\Games\Sidebars\SidebarHandler.cs", "C#", 0, 0, 0, 9, 0, 12, 4, 25
"e:\Documents\Programs\Chinese-Chess-v3\Game\UI\Screens\Games\Sidebars\SidebarRenderer.cs", "C#", 0, 0, 0, 8, 0, 8, 3, 19
"e:\Documents\Programs\Chinese-Chess-v3\Game\UI\Screens\Menus\MainMenu.cs", "C#", 0, 0, 0, 40, 0, 9, 10, 59
"e:\Documents\Programs\Chinese-Chess-v3\Game\UI\Screens\Menus\MainMenuHandler.cs", "C#", 0, 0, 0, 94, 0, 27, 15, 136
"e:\Documents\Programs\Chinese-Chess-v3\Game\UI\Screens\Menus\MainMenuRenderer.cs", "C#", 0, 0, 0, 8, 0, 8, 3, 19
"e:\Documents\Programs\Chinese-Chess-v3\Game\UI\Screens\Menus\Options\MainMenuOptions.cs", "C#", 0, 0, 0, 22, 0, 8, 4, 34
"e:\Documents\Programs\Chinese-Chess-v3\Game\UI\Screens\Menus\Options\MainMenuType.cs", "C#", 0, 0, 0, 14, 0, 8, 2, 24
"e:\Documents\Programs\Chinese-Chess-v3\Game\UI\Screens\Menus\Options\NewGameMenuOptions.cs", "C#", 0, 0, 0, 20, 0, 8, 4, 32
"e:\Documents\Programs\Chinese-Chess-v3\Game\UI\Screens\Menus\Options\NewGameMenuType.cs", "C#", 0, 0, 0, 12, 0, 8, 2, 22
"e:\Documents\Programs\Chinese-Chess-v3\Game\UI\Screens\Menus\Submenus\LoadGameMenu.cs", "C#", 0, 0, 0, 53, 0, 8, 12, 73
"e:\Documents\Programs\Chinese-Chess-v3\Game\UI\Screens\Menus\Submenus\LoadGameMenuHandler.cs", "C#", 0, 0, 0, 13, 0, 12, 4, 29
"e:\Documents\Programs\Chinese-Chess-v3\Game\UI\Screens\Menus\Submenus\LoadGameMenuRenderer.cs", "C#", 0, 0, 0, 8, 0, 8, 3, 19
"e:\Documents\Programs\Chinese-Chess-v3\Game\UI\Screens\Menus\Submenus\NewGameMenu.cs", "C#", 0, 0, 0, 39, 0, 8, 11, 58
"e:\Documents\Programs\Chinese-Chess-v3\Game\UI\Screens\Menus\Submenus\NewGameMenuHandler.cs", "C#", 0, 0, 0, 20, 0, 11, 9, 40
"e:\Documents\Programs\Chinese-Chess-v3\Game\UI\Screens\Menus\Submenus\NewGameMenuRenderer.cs", "C#", 0, 0, 0, 8, 0, 8, 3, 19
"e:\Documents\Programs\Chinese-Chess-v3\Launcher\MainForm.cs", "C#", 0, 0, 0, 86, 0, 9, 24, 119
"e:\Documents\Programs\Chinese-Chess-v3\Launcher\Program.cs", "C#", 0, 0, 0, 69, 0, 48, 17, 134
"e:\Documents\Programs\Chinese-Chess-v3\Launcher\UIInitializer.cs", "C#", 0, 0, 0, 25, 0, 30, 12, 67
"e:\Documents\Programs\Chinese-Chess-v3\README.md", "Markdown", 0, 0, 29, 0, 0, 0, 14, 43
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Configs\Settings.cs", "C#", 0, 0, 0, 7, 0, 8, 1, 16
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Controllers\BackgroundController.cs", "C#", 0, 0, 0, 28, 0, 8, 8, 44
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Controllers\EffectController.cs", "C#", 0, 0, 0, 126, 0, 23, 29, 178
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Controllers\FrameController.cs", "C#", 0, 0, 0, 52, 0, 40, 16, 108
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Controllers\MainRenderController.cs", "C#", 0, 0, 0, 41, 0, 44, 15, 100
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Controllers\StarController.cs", "C#", 0, 0, 0, 159, 0, 42, 29, 230
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Core\Effect\ColorShiftParameter.cs", "C#", 0, 0, 0, 18, 0, 11, 6, 35
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Core\Effect\EffectConfigRegistry.cs", "C#", 0, 0, 0, 56, 0, 21, 7, 84
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Core\Effect\EffectInstance.cs", "C#", 0, 0, 0, 77, 0, 9, 13, 99
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Core\Effect\IEffectInstance.cs", "C#", 0, 0, 0, 11, 0, 8, 3, 22
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Core\Effect\Instance\ColorShiftInstance.cs", "C#", 0, 0, 0, 91, 0, 26, 20, 137
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Core\Effect\Instance\ConcentrateInstance.cs", "C#", 0, 0, 0, 28, 0, 8, 6, 42
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Core\Effect\Instance\PulseInstance.cs", "C#", 0, 0, 0, 87, 0, 25, 18, 130
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Core\Effect\Instance\TwistInstance.cs", "C#", 0, 0, 0, 137, 0, 26, 26, 189
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Core\Effect\Parameter\PulseParameter.cs", "C#", 0, 0, 0, 22, 0, 11, 6, 39
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Core\Effect\Parameter\TwistParameter.cs", "C#", 0, 0, 0, 26, 0, 11, 6, 43
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\DEPRECATED\OverscrollCalculator.cs", "C#", 0, 0, 0, 56, 0, 33, 11, 100
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\DEPRECATED\TwistInstanceGravity.cs", "C#", 0, 0, 0, 141, 0, 40, 28, 209
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\DEPRECATED\TwistManager.cs", "C#", 0, 0, 0, 40, 0, 17, 8, 65
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\DEPRECATED\Twist_Old.cs", "C#", 0, 0, 0, 47, 0, 36, 16, 99
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Interfaces\IDrawable.cs", "C#", 0, 0, 0, 6, 0, 9, 1, 16
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Models\Effect.cs", "C#", 0, 0, 0, 22, 0, 19, 3, 44
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Models\EffectType.cs", "C#", 0, 0, 0, 9, 0, 8, 1, 18
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Models\Frame.cs", "C#", 0, 0, 0, 12, 0, 11, 2, 25
